SpecificHeatCapacity_composition_average,MeltingT_composition_average,HeatVaporization_composition_average,BCCvolume_padiff_composition_average,NdValence_composition_average,IonicRadii_composition_average,HeatCapacityMass_composition_average,MendeleevNumber_composition_average,IsFCC_composition_average,GSenergy_pa_composition_average,NUnfilled_composition_average,HHIr_composition_average,ElasticModulus_composition_average,ElectronAffinity_composition_average,valence_composition_average,BCCmagmom_composition_average,MiracleRadius_composition_average,BCCenergy_pa_composition_average,HeatFusion_composition_average,ThirdIonizationEnergy_composition_average
0.5145,767.04,234.35000000000002,0.125,5.0,0.865,0.5135000000000001,77.0,1.0,-3.687226365,4.5,1400.0,45.25,77.5,3.5,0.0,157.5,-3.6164808500000003,7.742000000000001,30.195
0.5720000000000001,1380.76,342.05,0.25,5.0,0.5900000000000001,0.5705,67.5,1.0,-4.441598845,2.5,4500.0,98.75,52.5,3.5,0.0,141.5,-4.370600015,13.725,30.688499999999998
0.515,1487.435,400.625,0.245,4.5,0.585,0.515,68.0,1.0,-4.8869664,3.5,5050.0,122.75,125.15,3.5,0.0,140.0,-4.787662559999999,16.442500000000003,14.2235
0.5185,2196.235,498.95000000000005,0.2925,2.5,0.535,0.517,63.5,0.5,-8.0812254425,5.0,2150.0,265.75,29.5,5.0,0.0,139.0,-7.87598259,22.395,14.2235
0.571,1585.2350000000001,393.095,0.37,4.0,0.605,0.5700000000000001,66.0,1.0,-5.49953432,4.0,4500.0,200.25,82.5,4.5,0.18517845,136.5,-5.28008552,18.65,29.7535
0.569,1770.2350000000001,429.28499999999997,0.42000000000000004,3.5,0.5800000000000001,0.5675,64.5,0.5,-6.470028345,4.5,4500.0,250.25,77.5,5.5,2.865e-05,137.5,-6.110559755000001,24.650000000000002,28.4585
0.8049999999999999,660.915,150.4,-4.8634375,0.0,0.41500000000000004,0.8025,80.5,0.5,-3.921319919375,3.5,1000.0,44.75,122.71,4.5,0.0,122.0,-3.32648814,6.2155000000000005,31.6385
0.5535,918.625,179.385,-2.0149999999999997,5.0,0.65,0.552,79.0,0.5,-3.93139273,4.0,2200.0,68.75,73.0,4.0,0.0,148.0,-3.7700511299999997,15.25,26.8735
0.734,1373.7350000000001,297.8,0.2025,0.5,0.645,0.7324999999999999,42.0,0.5,-5.015468105,7.0,2750.0,75.25,31.55,3.0,0.0,151.5,-4.911139145,12.405000000000001,26.6035
0.61,713.735,158.56,-2.655,5.0,0.52,0.609,81.0,0.5,-3.608107515,3.5,3500.0,45.25,119.98,4.5,0.0,129.5,-3.2754641199999996,8.700000000000001,29.633499999999998
0.8,1310.2350000000001,324.9,-2.695,0.0,0.4,0.8045,75.5,1.0,-4.5851705625,4.5,1000.0,116.25,89.3,3.5,0.0,125.5,-4.27609876,30.46,30.969499999999996
0.5640000000000001,719.275,290.58500000000004,-3.8074999999999997,5.0,0.625,0.562,76.5,0.5,-3.853235105,4.5,1300.0,60.25,83.0,3.5,0.0,148.0,-3.7725562850000003,8.93,29.4745
0.52,2111.735,513.9,0.22,1.5,0.5900000000000001,0.5185,60.5,0.5,-7.7984113299999995,6.0,2900.0,126.75,52.5,4.0,0.0,143.0,-7.750793334999999,23.64,14.2235
